Bulan,tahun,Domestik,Mancanegara
Januari,2008,177698,7085
Februari,2008,95689,8761
Maret,2008,155716,8939
April,2008,94903,8503
Mei,2008,192487,10851
Juni,2008,340264,10121
Juli,2008,219674,17289
Agustus,2008,112028,17723
September,2008,34174,11249
Oktober,2008,301024,10830
November,2008,101180,9465
Desember,2008,283497,8567
Januari,2009,233814,8974
Februari,2009,95521,8362
Maret,2009,150391,10064
April,2009,95806,11043
Mei,2009,252427,12265
Juni,2009,405141,11047
Juli,2009,243447,20542
Agustus,2009,85851,21512
September,2009,267760,12181
Oktober,2009,118925,12609
November,2009,118144,9327
Desember,2009,300969,9049
Januari,2010,253685,9432
Februari,2010,131952,10050
Maret,2010,102296,9902
April,2010,175353,8223
Mei,2010,301687,13141
Juni,2010,385532,12874
Juli,2010,284047,22404
Agustus,2010,62931,22732
September,2010,266693,14863
Oktober,2010,114021,15278
November,2010,9250,2549
Desember,2010,173634,5924
Januari,2011,125367,7950
Februari,2011,83143,9550
Maret,2011,84967,10993
April,2011,83143,9550
Mei,2011,223389,12311
Juni,2011,289105,12038
Juli,2011,185914,22926
Agustus,2011,62177,19277
September,2011,239839,15830
Oktober,2011,125943,15273
November,2011,96743,81845
Desember,2011,357981,11027
Januari,2012,265454,11348
Februari,2012,122866,10973
Maret,2012,153306,12434
April,2012,161996,12585
Mei,2012,397878,15013
Juni,2012,352987,14705
Juli,2012,191926,24518
Agustus,2012,262712,22041
September,2012,132183,20034
Oktober,2012,139670,16326
November,2012,155085,13307
Desember,2012,491774,12972
Januari,2013,267189,13637
Februari,2013,135565,14409
Maret,2013,218012,14858
April,2013,162241,14277
Mei,2013,458675,17614
Juni,2013,423821,16390
Juli,2013,115960,22107
Agustus,2013,377473,32553
September,2013,133981,23555
Oktober,2013,169746,19743
November,2013,171841,17266
Desember,2013,512660,17878
Januari,2014,324624,16134
Februari,2014,115244,11137
Maret,2014,206051,15715
April,2014,165001,18734
Mei,2014,456831,18842
Juni,2014,385240,17468
Juli,2014,192652,25793
Agustus,2014,272266,34653
September,2014,130361,24272
Oktober,2014,190290,22864
November,2014,192222,17705
Desember,2014,526384,18497
Januari,2015,301690,11796
Februari,2015,166323,13080
Maret,2015,201414,12285
April,2015,206204,11842
Mei,2015,500103,14342
Juni,2015,230725,13261
Juli,2015,362997,21179
Agustus,2015,192641,31408
September,2015,135266,19880
Oktober,2015,301690,11796
November,2015,187073,12413
Desember,2015,606867,12112
Januari,2016,324590,10877
Februari,2016,230022,12962
Maret,2016,229138,11326
April,2016,244617,13480
Mei,2016,403267,12407
Juni,2016,227469,15169
Juli,2016,455863,24219
Agustus,2016,176405,32307
September,2016,177105,21566
Oktober,2016,237505,19371
November,2016,216647,13058
Desember,2016,672056,13874
Januari,2017,400191,13463
Februari,2017,197361,12785
Maret,2017,261872,14701
April,2017,325315,16078
Mei,2017,339867,16722
Juni,2017,272389,11529
Juli,2017,359235,29879
Agustus,2017,164358,35400
September,2017,175155,24292
Oktober,2017,206957,20506
November,2017,202795,13982
Desember,2017,645831,15136
Januari,2018,321893,11732
Februari,2018,235303,14088
Maret,2018,291425,15292
April,2018,323325,14555
Mei,2018,237315,13265
Juni,2018,440194,9031
Juli,2018,291732,27470
Agustus,2018,176248,30166
September,2018,198782,20943
Oktober,2018,204249,14280
November,2018,250412,10811
Desember,2018,692176,10598
Januari,2019,341685,13402
Februari,2019,247731,16869
Maret,2019,262877,16949
April,2019,357108,17693
Mei,2019,111921,15325
Juni,2019,565032,14332
Juli,2019,330191,34347
Agustus,2019,186159,39300
September,2019,169998,27163
Oktober,2019,236847,21290
November,2019,274059,14665
Desember,2019,664149,10747
Januari,2020,395175,15603
Februari,2020,234280,11506
Maret,2020,111908,4213
April,2020,-,-
Mei,2020,-,-
Juni,2020,2235,2
Juli,2020,16858,29
Agustus,2020,45571,39
September,2020,23591,19
Oktober,2020,43159,38
November,2020,32449,26
Desember,2020,60473,76
Januari,2021,30394,52
Februari,2021,18641,37
Maret,2021,34624,33
April,2021,30713,64
Mei,2021,38369,55
Juni,2021,54589,70
Juli,2021,-,-
Agustus,2021,-,-
September,2021,5892,9
Oktober,2021,30285,93
November,2021,51485,106
Desember,2021,127938,155
Januari,2022,131561,127
Februari,2022,89203,170
Maret,2022,111540,348
April,2022,23890,618
Mei,2022,324135,2175
Juni,2022,191810,4341
Juli,2022,125266,1184
Agustus,2022,51906,15550
September,2022,44552,9853
Oktober,2022,76461,7688
November,2022,74253,4941
Desember,2022,198709,6941
Januari,2023,121138,6278
Februari,2023,87706,6241
Maret,2023,67520,8520
April,2023,93561,9510
Mei,2023,126410,14438
Juni,2023,158430,16696
Juli,2023,127271,29166
Agustus,2023,58900,34092
September,2023,63997,24852
Oktober,2023,77455,18180
November,2023,86941,12291
Desember,2023,211897,12789
