Bulan,,,,,,
,Jumlah Pengunjung Obyek Wisata Candi Borobudur Menurut Asal Wisatawan dan Bulan di Kabupaten Magelang,,,,,
,Domestik,,,Mancanegara,,
,2017,2018,2019,2017,2018,2019
Januari,400191,321893,341685,13463,11732,13402
Februari,197361,235303,247731,12785,14088,16869
Maret,261872,291425,262877,14701,15292,16949
April,325315,323325,357108,16078,14555,17693
Mei,339867,237315,111921,16722,13265,15325
Juni,272389,440194,565032,11529,9031,14332
Juli,359235,291732,330191,29879,27470,34347
Agustus,164358,176248,186159,35400,30166,39300
September,175155,198782,169998,24292,20943,27163
Oktober,206957,204249,236847,20506,14280,21290
November,202795,250412,274059,13982,10811,14665
Desember,645831,692176,664149,15136,10598,10747
Kabupaten Magelang,3551326,3663054,3747757,224473,192231,242082
